,0,1,2,3,4
0,0.046765357,0.04486138,0.055679593,0.07287703,0.05881465
1,0.034848377,0.05265689,0.053407498,0.07113446,0.080946125
2,0.043714743,0.0661667,0.07706129,0.05937708,0.048586667
3,0.07494784,0.07508298,0.05761934,0.08453338,0.087227054
4,0.07903577,0.06747485,0.060537636,0.106115155,0.07899505
5,0.07674121,0.10564448,0.09071752,0.08471406,0.098458104
6,0.08855727,0.08146268,0.07381583,0.09647653,0.08904007
7,0.08495275,0.079698406,0.07553285,0.11017866,0.16007285
8,0.08592144,0.09112295,0.10059022,0.095072895,0.13076831
9,0.018417737,0.026528912,0.023091193,0.017714433,0.005278613
10,0.019068252,0.016925598,0.02535015,0.0113251675,0.021796614
11,0.015784051,0.016225236,0.022508522,0.0023275805,0.008141735
12,0.032479223,0.028972317,0.020487528,0.024719732,0.007865969
13,0.022329466,0.07728511,0.021431288,0.0035688782,0.0041764406
14,0.041554138,0.006659176,0.020383634,0.0067790365,0.0052788462
15,0.02552914,0.006086625,0.02234945,0.022695813,0.010782858
16,0.024079295,0.016160427,0.01642836,0.012739994,0.003228961
17,0.03594143,0.006006959,0.01743149,0.006760638,0.008718545
18,0.02026566,0.011543429,0.016343692,0.0064034928,0.0076076104
19,0.008857151,0.00849657,0.014219211,0.0038960637,0.0046928735
20,0.014694403,0.03725698,0.01930524,0.034214392,0.0057789744
21,0.023565987,0.022055848,0.012714264,0.020585854,0.010930082
22,0.01193816,0.011312808,0.015233486,0.012497514,0.014254243
23,0.017329276,0.0076862094,0.025089115,0.004310182,0.004529431
24,0.01736264,0.014298139,0.017586665,0.01395526,0.036020476
25,0.021931186,0.013922596,0.02758787,0.01103509,0.0051969932
26,0.013387933,0.008405671,0.017497085,0.003991571,0.002811905
