,0,1,2,3,4
0,0.047604103,0.05064023,0.044932004,0.09269107,0.043774586
1,0.03741304,0.049903255,0.06040796,0.0931533,0.046672143
2,0.06560716,0.060635656,0.061689656,0.058629833,0.07134815
3,0.07003568,0.05795678,0.056132495,0.0940251,0.077924125
4,0.094885334,0.05460343,0.085216016,0.09273829,0.07401446
5,0.08380755,0.09557988,0.06840943,0.07239075,0.08829262
6,0.07733298,0.08160237,0.10765853,0.1406178,0.07584826
7,0.08635108,0.12314855,0.13272265,0.094300225,0.08861826
8,0.11007249,0.082561485,0.11879387,0.117582604,0.09889467
9,0.012033402,0.022599857,0.020864636,0.0049260478,0.017326264
10,0.016415372,0.021408949,0.059474327,0.00852317,0.03336983
11,0.029225033,0.02113733,0.022102645,0.001881791,0.017502561
12,0.033739008,0.027395198,0.0311444,0.008082686,0.033700302
13,0.04248415,0.023643859,0.006220343,0.0026073016,0.010353509
14,0.01102,0.017967984,0.010714335,0.020565163,0.019907618
15,0.009026588,0.019002741,0.008925423,0.013618506,0.017199568
16,0.012603732,0.014631554,0.008838981,0.0022881723,0.015624986
17,0.012121707,0.016316777,0.008321738,0.0018666047,0.009373018
18,0.015497338,0.021296604,0.009674755,0.009884094,0.023730004
19,0.021416573,0.018448677,0.017934214,0.0023966401,0.013348993
20,0.021797083,0.024381565,0.023775086,0.006326288,0.018036472
21,0.019793166,0.015527693,0.0016851468,0.0024674227,0.024158267
22,0.008762724,0.012984764,0.0020041477,0.009733866,0.023901576
23,0.0134704495,0.015988385,0.011115247,0.010360681,0.014256485
24,0.013873276,0.013933678,0.009886442,0.0150999585,0.017091764
25,0.023658097,0.02135056,0.0062613916,0.014039707,0.015321637
26,0.009952859,0.0153521905,0.005094137,0.009202894,0.010409869
